"CID" "dproj" "vlos" "zlcus"
"1" 1 4.0501 -290.2528 0.0352
"2" 1 3.6905 -243.9476 0.0352
"3" 1 3.1667 -34.3068 0.0352
"4" 1 2.7826 -464.4862 0.0352
"5" 1 2.614 -396.11 0.0352
"6" 1 2.4674 28.952 0.0352
"7" 1 1.8756 592.4027 0.0352
"8" 1 1.7579 -350.1233 0.0352
"9" 1 1.5222 -1202.8044 0.0352
"10" 1 1.618 -1065.2903 0.0352
"11" 1 1.671 -1099.3336 0.0352
"12" 1 1.4732 55.6798 0.0352
"13" 1 1.0359 1077.8883 0.0352
"14" 1 1.4088 -396.2287 0.0352
"15" 1 1.2708 28.3294 0.0352
"16" 1 1.0091 928.8449 0.0352
"17" 1 0.7635 -428.2216 0.0352
"18" 1 0.9662 -144.1171 0.0352
"19" 1 1.0338 1217.2442 0.0352
"20" 1 0.8237 855.0473 0.0352
"21" 1 1.0979 -926.9248 0.0352
"22" 1 0.6326 -791.0036 0.0352
"23" 1 1.0118 494.9152 0.0352
"24" 1 0.638 -1166.2358 0.0352
"25" 1 1.042 -709.7978 0.0352
"26" 1 1.068 -64.8314 0.0352
"27" 1 1.0983 -171.2359 0.0352
"28" 1 1.2301 -1240.3433 0.0352
"29" 1 1.7962 334.5192 0.0352
"30" 1 3.5655 -693.4176 0.0352
"31" 1 4.1211 -428.3172 0.0352
"32" 1 5.9381 -517.8231 0.0352
"33" 1 5.8239 -471.5931 0.0352
"34" 1 5.4854 -194.8128 0.0352
"35" 1 5.1993 -556.6507 0.0352
"36" 1 5.0728 -593.0456 0.0352
"37" 1 4.4058 -595.7766 0.0352
"38" 1 4.363 -589.5616 0.0352
"39" 1 4.483 -360.8242 0.0352
"40" 1 4.0405 -376.2053 0.0352
"41" 1 4.0711 -588.38 0.0352
"42" 1 3.9806 -150.445 0.0352
"43" 1 2.444 104.9101 0.0352
"44" 1 0.9601 -538.1303 0.0352
"45" 1 0.9862 885.1838 0.0352
"46" 1 0.4293 433.9153 0.0352
"47" 1 0.748 44.8254 0.0352
"48" 1 0.7093 46.9105 0.0352
"49" 1 0.5042 243.5884 0.0352
"50" 1 0.4737 64.2435 0.0352
"51" 1 0.6244 -1075.4092 0.0352
"52" 1 0.4607 -85.3732 0.0352
"53" 1 0.2984 -391.789 0.0352
"54" 1 0.3976 609.8254 0.0352
"55" 1 0.4356 718.7206 0.0352
"56" 1 0.1982 -508.854 0.0352
"57" 1 0.2118 -1278.1862 0.0352
"58" 1 0.1642 -16.5771 0.0352
"59" 1 0.0683 524.6231 0.0352
"60" 1 0.1249 -65.4193 0.0352
"61" 1 0.0579 -302.5756 0.0352
"62" 1 0.0299 -881.9054 0.0352
"63" 1 0.1044 -1930.5202 0.0352
"64" 1 0.1323 55.2309 0.0352
"65" 1 0.1174 -46.172 0.0352
"66" 1 0.1475 943.1515 0.0352
"67" 1 0.091 -161.1721 0.0352
"68" 1 0.3682 -1447.5947 0.0352
"69" 1 0.246 -709.3807 0.0352
"70" 1 0.2776 757.832 0.0352
"71" 1 0.4413 -1533.886 0.0352
"72" 1 0.2165 -893.4984 0.0352
"73" 1 0.1772 842.7534 0.0352
"74" 1 0.2287 -399.4028 0.0352
"75" 1 0.4261 -473.7362 0.0352
"76" 1 0.3767 298.9121 0.0352
"77" 1 0.5598 -256.7742 0.0352
"78" 1 0.1571 171.4068 0.0352
"79" 1 0.1577 -1343.3681 0.0352
"80" 1 0.5008 1170.4351 0.0352
"81" 1 0.2752 726.1113 0.0352
"82" 1 0.3755 -1598.3583 0.0352
"83" 1 0.4478 -1471.5858 0.0352
"84" 1 0.7078 139.6079 0.0352
"85" 1 0.8071 -729.3289 0.0352
"86" 1 0.7088 563.6968 0.0352
"87" 1 0.9229 -1597.7009 0.0352
"88" 1 1.3374 -604.8761 0.0352
"89" 1 2.0324 336.6507 0.0352
"90" 1 2.167 -186.197 0.0352
"91" 1 2.4269 62.4045 0.0352
"92" 1 2.6241 -363.7116 0.0352
"93" 1 3.0581 -1024.2733 0.0352
"94" 1 3.1803 -61.5183 0.0352
"95" 1 1.6765 -408.1113 0.0352
"96" 1 1.8315 460.4259 0.0352
"97" 1 1.7603 478.0629 0.0352
"98" 1 1.5124 225.879 0.0352
"99" 1 1.1527 855.8176 0.0352
"100" 1 1.0841 842.1018 0.0352
"101" 1 1.1219 581.4005 0.0352
"102" 1 1.2569 -641.3665 0.0352
"103" 1 1.3722 162.0699 0.0352
"104" 1 1.9955 -865.2038 0.0352
"105" 1 1.7751 -398.4297 0.0352
"106" 1 2.0047 -581.3107 0.0352
"107" 1 2.2645 165.2208 0.0352
"108" 1 2.334 -57.209 0.0352
"109" 1 2.6888 -194.0367 0.0352
"110" 1 3.4208 -237.3764 0.0352
"111" 1 4.0797 -659.8579 0.0352
"112" 1 4.5776 -584.0678 0.0352
"113" 1 3.6312 -370.0019 0.0352
"114" 1 4.9834 -469.9018 0.0352
"115" 1 5.0564 -591.7684 0.0352
